ticker,company_name,sector,market_cap_category,has_market_cap,has_annual_financials,deactivated_on
BINDALAGRO,,,,FALSE,FALSE,2026-04-30
BIOGEN,BIOGEN PHARMACHEM INDUSTRIES L,,,FALSE,FALSE,2026-04-30
BIRDYS,,,,FALSE,FALSE,2026-04-30
BIRLAPREC,Birla Precision Technologies Limited,Capital Goods,,FALSE,FALSE,2026-04-30
BKV,BKV INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
BLACKROSE,Black Rose Inds. Limited,Chemicals,,FALSE,FALSE,2026-04-30
BLIL,Balmer Lawrie Investments Limited,Financial Services,,FALSE,FALSE,2026-04-30
BLOIN,BLOOM INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
BLUECHIPT,BLUE CHIP TEX INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
BLUECLOUDS,Blue Cloud Softech Solutions L,,,FALSE,FALSE,2026-04-30
BLUEGOD,BLUEGOD ENTERTAINMENT LIMITED,,,FALSE,FALSE,2026-04-30
BLUEPEBBLE,,,,FALSE,FALSE,2026-04-30
BLUEWATER,,,,FALSE,FALSE,2026-04-30
BLUSPRING,Bluspring Enterprises Limited,Industrials,,TRUE,FALSE,2026-04-30
BMETRICS,,,,FALSE,FALSE,2026-04-30
BMW,BMW INDUSTRIES LIMITED,,,FALSE,FALSE,2026-04-30
BNAGROCHEM,BN Agrochem Limited,Services,,FALSE,FALSE,2026-04-30
BNALTD,B & A Limited,Fast Moving Consumer Goods,,FALSE,FALSE,2026-04-30
BNRSEC,B.N.RATHI SECURITIES LTD.,,,FALSE,FALSE,2026-04-30
BNRUDY,BNR UDYOG LTD.,,,FALSE,FALSE,2026-04-30
BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LT,,,FALSE,FALSE,2026-04-30
BOMBWIR,BOMBAY WIRE ROPES LTD.,,,FALSE,FALSE,2026-04-30
BOMOXY-B1,BOMBAY OXYGEN INVESTMENTS LIMI,,,FALSE,FALSE,2026-04-30
BOMTALKIES,BOMBAY TALKIES LIMITED,,,FALSE,FALSE,2026-04-30
BOSS,,,,FALSE,FALSE,2026-04-30
BPAGRI,Blue Pearl Agriventures Limite,,,FALSE,FALSE,2026-04-30
BPLPHARMA,Bharat Parenterals Limited,,,FALSE,FALSE,2026-04-30
BRACEPORT,,,,FALSE,FALSE,2026-04-30
BRADYM,BRADY & MORRIS ENGINEERING CO.,,,FALSE,FALSE,2026-04-30
BRAHMINFRA,BRAHMAPUTRA INFRASTRUCTURE LTD,,,FALSE,FALSE,2026-04-30
